"","ufn","survey_date","site_id","cal_cope_field","lep_cope_field","chal_a_field","chal_b_field","cal_mot_field","cm_field","cpaf_field","caf_field","cgf_field","lpam_field","lpaf_field","lam_field","laf_field","lgf_field","unid_cope_field","unid_chal_field","chal_scar","mot_scar","pred_scar","hemorrhaging","eroded_gill_plate","grazed_gill_plate","mate_guarding","pinched_belly","comments_fish_health_field","licing_protocol_field","motile_count"
"132","U16944",2018-06-21,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,2,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"133","U16945",2018-06-21,"J09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,"Lesion CP/VS","salmoncoast_motiles",1
"134","U16949",2018-06-21,"J09",NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"135","U16950",2018-06-21,"J09",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"136","U16953",2018-06-23,"J03",2,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",1
"137","U16583",2018-06-23,"J03",6,0,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"salmoncoast_allstages",2
"138","U16612",2018-06-23,"J03",NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"139","U16613",2018-06-23,"J03",NA,NA,NA,NA,2,2,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",3
"140","U16614",2018-06-23,"J03",NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
"141","U16615",2018-06-23,"J03",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",2
"142","U16616",2018-06-23,"J03",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,"salmoncoast_motiles",1
