ufn,Comment,Stock 1,Region 1,Prob 1,Stock 2,Region 2,Prob 2,Stock 3,Region 3,Prob 3,Stock 4,Region 4,Prob 4,Stock 5,Region 5,Prob 5
432,,Gluskie,1,0.34,Porter_Cr,1,0.29,Blackwater,1,0.19,Kynock,1,0.09,Forfar,1,0.03
433,,Gluskie,1,0.65,Porter_Cr,1,0.14,Blackwater,1,0.11,Kynock,1,0.05,FiveMile,1,0.02
434,,Chilko,3,0.95,Middle,3,0.02,Porter_Cr,1,0.01,Kynock,1,0.01,Blackwater,1,0
435,,Gluskie,1,0.52,Porter_Cr,1,0.16,Blackwater,1,0.1,Kynock,1,0.09,Iskut,14,0.02
436,,Stellako,3,0.99,Middle,3,0.01,Kynock,1,0,,,,,,
437,,L_Adams,4,0.77,Chilko,3,0.23,MiddleShuswap,4,0,Eagle_L,4,0,,,
438,,Chilko,3,1,Middle,3,0,,,,,,,,,
439,,Pitt,2,0.96,Yonakina,16,0.04,Ashlulm,18,0,Kudwat_Cr,17,0,U_Tatshensh,17,0
440,,Chilko,3,0.95,Tachie,3,0.03,Paula,1,0.02,Fennell,2,0,Raft,2,0
441,,Chilko,3,0.49,Porter_Cr,1,0.26,Gluskie,1,0.1,Blackwater,1,0.05,Kynock,1,0.04
442,,Porter_Cr,1,0.29,Blackwater,1,0.2,Gluskie,1,0.17,Kynock,1,0.11,Stellako,3,0.05
443,,Quesnel_Mitche,3,1,,,,,,,,,,,,
444,,L_Adams,4,0.98,Horsefly,3,0.02,MiddleShuswap,4,0,Middle,3,0,,,
446,,Chilko,3,1,,,,,,,,,,,,
447,,L_Adams,4,0.45,Raft,2,0.4,Thompson_N,2,0.14,Fennell,2,0,L_Shuswap,4,0
448,,Chilko,3,0.98,L_Adams,4,0.01,Thompson_N,2,0.01,Gluskie,1,0,Paula,1,0
449,,Chilko,3,0.55,Paula,1,0.39,Rossette,1,0.02,L_Adams,4,0.01,Sandpoint,1,0.01
450,,L_Adams,4,0.36,Chilko,3,0.23,Raft,2,0.18,Fennell,2,0.11,Thompson_N,2,0.09
451,,Chilko,3,0.99,L_Adams,4,0.01,Chilko-North,3,0,Portage_Cr,4,0,Chilko_south,2,0
452,,Chilko,3,0.97,Chilko-North,3,0.03,L_Adams,4,0,,,,,,
453,,Mitchell,3,0.91,Quesnel_Mitche,3,0.08,Blue_Lead_Ck,3,0,Chilko,3,0,Roaring,3,0
454,,Chilko,3,1,Thompson_N,2,0,Quesnel_Horsef,3,0,Horsefly,3,0,,,
455,,Chilko,3,0.87,Quesnel_Horsef,3,0.07,Chilko_south,2,0.02,Blackwater,1,0.02,Kynock,1,0
456,,Chilko,3,0.94,Mitchell,3,0.02,Thompson_N,2,0.01,Roaring,3,0.01,Chilko_south,2,0
457,,Chilko,3,1,,,,,,,,,,,,
458,,Birkenhead,3,1,Pitt,2,0,,,,,,,,,
459,,Chilko,3,0.9,Quesnel_Horsef,3,0.04,Thompson_N,2,0.03,Chilko_south,2,0,Raft,2,0
460,,Gates_Cr,2,1,,,,,,,,,,,,
461,,Horsefly,3,0.97,L_Adams,4,0.02,McKinley,3,0,U_Horsefly,3,0,Middle,3,0
462,,Gates_Cr,2,1,,,,,,,,,,,,
463,,L_Adams,4,0.7,Horsefly,3,0.29,Chilko,3,0.01,Eagle_L,4,0,Stellako,3,0
464,,Horsefly,3,0.76,L_Adams,4,0.24,Middle,3,0,Seymour,2,0,Porter_Cr,1,0
465,,Chilko,3,0.95,Horsefly,3,0.02,Middle,3,0.01,Blackwater,1,0.01,Gluskie,1,0
466,,Quesnel_Horsef,3,0.4,Chilko,3,0.17,Little,4,0.16,Stellako,3,0.15,Thompson_N,2,0.04
467,,Gates_Cr,2,1,,,,,,,,,,,,
468,,Blackwater,1,0.39,Hudson_Bay,1,0.2,Sandpoint,1,0.17,Kynock,1,0.16,Paula,1,0.03
470,,Stellako,3,0.99,Blackwater,1,0,Hudson_Bay,1,0,Tachie,3,0,Chilko,3,0
471,,Chilko,3,0.79,L_Adams,4,0.13,Chilko_south,2,0.06,Quesnel_Horsef,3,0.01,Quesnel_Decept,3,0
472,,Pitt,2,0.78,Portage_Cr,4,0.13,L_Adams,4,0.07,Seymour,2,0.01,Amback,18,0
473,,Chilko,3,0.99,Chilko_south,2,0.01,L_Adams,4,0,Seymour,2,0,Scotch,2,0
474,,Chilko,3,0.48,Middle,3,0.46,Porter_Cr,1,0.02,Kuzkwa_Cr,3,0.01,Hudson_Bay,1,0.01
475,,Middle,3,1,Kuzkwa_Cr,3,0,Sandpoint,1,0,Bivouac,1,0,,,
476,,U_Horsefly,3,0.89,L_Adams,4,0.07,Horsefly,3,0.01,Chilko,3,0.01,L_Horsefly,3,0.01
477,,U_Horsefly,3,0.98,Horsefly,3,0.01,Chilko,3,0.01,L_Horsefly,3,0,McKinley,3,0
478,,Chilko,3,0.97,Middle,3,0.01,L_Adams,4,0.01,Gluskie,1,0.01,Chilko-North,3,0.01
479,,Middle,3,0.99,Chilko,3,0.01,Tachie,3,0,,,,,,
480,,Chilko,3,1,U_Horsefly,3,0,Chilko_south,2,0,,,,,,
481,,Paula,1,0.38,Kuzkwa_Cr,3,0.12,Pinchi_Cr,3,0.1,Middle,3,0.08,Tachie,3,0.05
482,,Horsefly,3,1,Quesnel_Horsef,3,0,U_Horsefly,3,0,L_Horsefly,3,0,,,
483,,Middle,3,0.49,Stellako,3,0.26,Blackwater,1,0.08,Gluskie,1,0.06,Porter_Cr,1,0.06
484,,Chilko,3,0.97,L_Adams,4,0.03,Kynock,1,0,,,,,,
485,,Chilko,3,0.96,Stellako,3,0.03,Horsefly,3,0.01,L_Adams,4,0,Middle,3,0
486,,Middle,3,0.43,Blackwater,1,0.17,Porter_Cr,1,0.14,Stellako,3,0.12,Kynock,1,0.06
487,,Tachie,3,0.62,Paula,1,0.28,Rossette,1,0.02,Sandpoint,1,0.02,Gluskie,1,0.02
488,,L_Adams,4,0.67,Raft,2,0.14,Chilko,3,0.11,Thompson_N,2,0.04,Little,4,0.02
489,,Mitchell,3,0.98,Quesnel_Mitche,3,0.02,,,,,,,,,
490,,Chilko,3,0.8,L_Adams,4,0.17,Little,4,0.04,Portage_Cr,4,0,Chilko-North,3,0
491,,Chilko,3,0.9,Thompson_N,2,0.1,Chilko_south,2,0,Horsefly,3,0,,,
492,,Thompson_N,2,0.94,Raft,2,0.03,Chilko,3,0.02,Quesnel_Horsef,3,0.01,Stellako,3,0
492,,Chilko,3,0.61,Gluskie,1,0.21,L_Adams,4,0.1,Dust,1,0.07,Blackwater,1,0.01
493,,Middle,3,0.65,Blackwater,1,0.17,Porter_Cr,1,0.07,Stellako,3,0.04,Kynock,1,0.04
494,,Gluskie,1,0.99,Forfar,1,0,L_Adams,4,0,Porter_Cr,1,0,Middle,3,0
495,,Chilko,3,0.95,L_Adams,4,0.03,Middle,3,0.01,Stellako,3,0.01,Kynock,1,0
496,,Chilko,3,1,Horsefly,3,0,L_Adams,4,0,,,,,,
497,,Gluskie,1,0.52,Porter_Cr,1,0.18,Blackwater,1,0.13,Kynock,1,0.09,Chilko,3,0.03
498,,L_Adams,4,0.5,Tachie,3,0.41,Birkenhead,3,0.03,L_Shuswap,4,0.02,Little,4,0.01
499,,Chilko,3,0.78,L_Adams,4,0.09,Scotch,2,0.05,Tachie,3,0.03,Chilko-North,3,0.02
500,,Chilko,3,0.5,L_Adams,4,0.26,Scotch,2,0.07,Little,4,0.03,Raft,2,0.02
502,,Paula,1,0.77,Sandpoint,1,0.07,Rossette,1,0.05,Hudson_Bay,1,0.03,L_Adams,4,0.03
503,,Chilko,3,0.98,Chilko_south,2,0.01,Stellako,3,0.01,Kynock,1,0,,,
504,,Quesnel_Horsef,3,0.97,U_Horsefly,3,0.01,Horsefly,3,0.01,Thompson_N,2,0,L_Horsefly,3,0
505,,Chilko,3,1,,,,,,,,,,,,
506,,Chilko,3,0.97,Quesnel_Horsef,3,0.01,Sandpoint,1,0,Raft,2,0,Stellako,3,0
507,,Chilko,3,1,Blackwater,1,0,Chilko_south,2,0,Sandpoint,1,0,Paula,1,0
508,,Chilko,3,1,Chilko_south,2,0,Blackwater,1,0,Forfar,1,0,Felix,1,0
509,,Chilko,3,1,,,,,,,,,,,,
510,,Middle,3,0.65,Chilko,3,0.33,Stellako,3,0.01,Tachie,3,0,Rossette,1,0
511,,Scotch,2,1,,,,,,,,,,,,
512,,Chilko,3,0.97,Chilko-North,3,0.03,Tachie,3,0.01,L_Adams,4,0,,,
513,,Chilko,3,1,Sandpoint,1,0,Weaver,4,0,,,,,,
515,,Chilko,3,0.79,Quesnel_Horsef,3,0.08,Stellako,3,0.06,Thompson_N,2,0.03,Weaver,4,0.02
516,,Chilko,3,1,Stellako,3,0,Horsefly,3,0,,,,,,
517,,Chilko,3,1,Chilko_south,2,0,Thompson_N,2,0,,,,,,
518,,Birkenhead,3,1,Blackwater,1,0,Hudson_Bay,1,0,,,,,,
519,,Chilko,3,0.97,Weaver,4,0.03,Chilko_south,2,0,Thompson_N,2,0,,,
520,,Middle,3,0.65,Stellako,3,0.32,Tachie,3,0.01,Kuzkwa_Cr,3,0.01,Pinchi_Cr,3,0
521,,Chilko,3,0.42,Eagle_L,4,0.1,Little,4,0.08,Thompson_N,2,0.07,U_Adams,2,0.06
522,,Quesnel_Horsef,3,0.67,U_Horsefly,3,0.2,McKinley,3,0.09,Little,4,0.02,Horsefly,3,0.01
523,,Mitchell,3,0.96,Quesnel_Mitche,3,0.04,Roaring,3,0,Blue_Lead_Ck,3,0,,,
524,,Tachie,3,0.98,Middle,3,0.01,Hudson_Bay,1,0,Forfar,1,0,Kuzkwa_Cr,3,0
525,,Chilko,3,0.97,Chilko-North,3,0.03,L_Adams,4,0,Fennell,2,0,Raft,2,0
526,,Middle,3,0.81,Dust,1,0.11,Stellako,3,0.06,Horsefly,3,0.01,Gluskie,1,0
527,,Woss_Lake,7,0.97,Nimpkish,7,0.03,,,,,,,,,
528,,Woss_Lake,7,0.98,Nimpkish,7,0.02,Vernon,7,0,,,,,,
529,,Woss_Lake,7,0.99,Nimpkish,7,0.01,,,,,,,,,
530,,Woss_Lake,7,0.94,Nimpkish,7,0.06,,,,,,,,,
531,,Pitt,2,1,,,,,,,,,,,,
532,,Tachie,3,0.98,Chilko,3,0.01,Stellako,3,0,Middle,3,0,Pinchi_Cr,3,0
533,,L_Adams,4,0.9,Chilko,3,0.08,Portage_Cr,4,0.01,L_Shuswap,4,0.01,Little,4,0
534,,Mitchell,3,0.89,Quesnel_Mitche,3,0.1,Roaring,3,0,Blue_Lead_Ck,3,0,,,
535,,Chilko,3,0.87,Chilko-North,3,0.04,Paula,1,0.03,Tachie,3,0.03,Raft,2,0.02
536,,Woss_Lake,7,0.99,Nimpkish,7,0.01,,,,,,,,,
537,,Woss_Lake,7,1,Nimpkish,7,0,,,,,,,,,
538,,Woss_Lake,7,1,Nimpkish,7,0,,,,,,,,,
539,,Bowron,2,1,,,,,,,,,,,,
540,,Chilko,3,0.7,Seymour,2,0.28,Scotch,2,0.01,Eagle,2,0,Eagle_L,4,0
541,,Middle,3,0.62,Thompson_N,2,0.32,Stellako,3,0.04,U_Horsefly,3,0.01,Tachie,3,0.01
542,,Chilko,3,1,U_Horsefly,3,0,,,,,,,,,
543,,Chilko,3,0.99,L_Adams,4,0.01,Portage_Cr,4,0,,,,,,
544,,Quesnel_Mitche,3,0.61,Mitchell,3,0.37,Roaring,3,0.01,Quesnel_Decept,3,0.01,,,
545,,Pitt,2,0.99,Lake_Wenatchee,8,0.01,,,,,,,,,
546,,L_Adams,4,0.97,L_Shuswap,4,0.01,Horsefly,3,0.01,Dust,1,0,Blackwater,1,0
547,,L_Shuswap,4,0.85,MiddleShuswap,4,0.14,L_Adams,4,0,,,,,,
548,,Woss_Lake,7,0.99,Vernon,7,0.01,Nimpkish,7,0,,,,,,
549,,Woss_Lake,7,1,Nimpkish,7,0,,,,,,,,,
550,,L_Adams,4,1,Eagle_L,4,0,Portage_Cr,4,0,,,,,,
551,,L_Adams,4,0.94,L_Shuswap,4,0.02,MiddleShuswap,4,0.01,Seymour,2,0.01,Eagle,2,0.01
552,,L_Adams,4,0.83,Chilko-North,3,0.07,Chilko,3,0.06,Bowron,2,0.04,Little,4,0
553,,L_Adams,4,0.99,Raft,2,0.01,Thompson_N,2,0,L_Shuswap,4,0,,,
554,,Kynock,1,0.68,Forfar,1,0.14,Bivouac,1,0.12,Sandpoint,1,0.02,Narrows,1,0.01
555,,Seymour,2,0.57,Chilko,3,0.19,Scotch,2,0.05,Wasko_Cr,3,0.04,Horsefly,3,0.03
556,,Chilko,3,0.9,Chilko_south,2,0.08,Kynock,1,0.02,Seymour,2,0,Bivouac,1,0
557,,Quesnel_Horsef,3,1,L_Adams,4,0,,,,,,,,,
558,,Pinchi_Cr,3,0.36,Chilko,3,0.23,Chilko_south,2,0.21,L_Shuswap,4,0.07,Quesnel_Horsef,3,0.04
559,,Chilko_south,2,0.83,Chilko,3,0.16,L_Adams,4,0.01,Pinchi_Cr,3,0,Quesnel_Horsef,3,0
560,,Sakinaw,6,1,,,,,,,,,,,,
561,,Mitchell,3,0.88,Chilko,3,0.07,Wasko_Cr,3,0.03,Horsefly,3,0,Blue_Lead_Ck,3,0
562,,Mitchell,3,1,Wasko_Cr,3,0,Blue_Lead_Ck,3,0,Chilko,3,0,,,
563,,Chilko,3,0.95,Chilko_south,2,0.04,Horsefly,3,0.01,McKinley,3,0,Wasko_Cr,3,0
564,,Chilko,3,0.91,Chilko_south,2,0.05,Kynock,1,0.02,Bivouac,1,0.01,Thompson_N,2,0
565,,Chilko_south,2,0.54,Chilko,3,0.45,Pinchi_Cr,3,0.01,Middle,3,0,L_Adams,4,0
566,,Chilko,3,0.78,Chilko_south,2,0.12,Quesnel_Horsef,3,0.05,L_Adams,4,0.03,Pinchi_Cr,3,0.01
567,,Chilko,3,0.51,Chilko_south,2,0.48,L_Adams,4,0.01,,,,,,
568,,Chilko_south,2,0.76,Chilko,3,0.1,L_Adams,4,0.06,Seymour,2,0.05,Pinchi_Cr,3,0.02
569,,Chilko,3,0.79,Seymour,2,0.07,Chilko_south,2,0.04,L_Adams,4,0.04,Little,4,0.02
570,,Narrows,1,0.5,Blackwater,1,0.32,Quesnel_Horsef,3,0.06,Felix,1,0.04,Paula,1,0.02
571,,Quesnel_Horsef,3,0.9,U_Horsefly,3,0.09,McKinley,3,0,Horsefly,3,0,,,
572,Dupe with 5,Quesnel_Horsef,3,0.89,U_Horsefly,3,0.1,Horsefly,3,0,Narrows,1,0,,,
573,Dupe with 4,Quesnel_Horsef,3,0.9,U_Horsefly,3,0.1,Horsefly,3,0,Narrows,1,0,Chilko-North,3,0
574,,Seymour,2,0.7,Scotch,2,0.19,Blackwater,1,0.04,Felix,1,0.03,MiddleShuswap,4,0.02
575,,Seymour,2,0.5,Narrows,1,0.27,Blackwater,1,0.08,Scotch,2,0.07,Felix,1,0.03
576,,Chilko,3,0.97,Quesnel_Horsef,3,0.02,Chilko_south,2,0.01,Blue_Lead_Ck,3,0,,,
577,,Pinchi_Cr,3,0.9,Middle,3,0.07,Quesnel_Horsef,3,0.03,Chilko_south,2,0,,,
578,,L_Adams,4,0.72,L_Shuswap,4,0.13,Eagle_L,4,0.08,Seymour,2,0.03,Little,4,0.02
579,,Portage_Cr,4,0.67,Seymour,2,0.28,Scotch,2,0.05,,,,,,
580,,Quesnel_Horsef,3,0.64,Blue_Lead_Ck,3,0.2,L_Horsefly,3,0.08,McKinley,3,0.05,Wasko_Cr,3,0.02
581,,Kynock,1,0.73,Forfar,1,0.17,Bivouac,1,0.07,Hudson_Bay,1,0.01,Gluskie,1,0.01
582,,Chilko,3,0.99,Chilko_south,2,0.01,Kuzkwa_Cr,3,0,,,,,,
583,,Seymour,2,0.82,Scotch,2,0.09,Eagle,2,0.03,L_Adams,4,0.03,U_Adams,2,0.02
584,,Chilko,3,0.99,Chilko_south,2,0,Quesnel_Horsef,3,0,Raft,2,0,Pinchi_Cr,3,0
585,,Chilko,3,0.66,L_Adams,4,0.12,Quesnel_Horsef,3,0.1,Chilko_south,2,0.06,Quesnel_Mitche,3,0.03
586,,Quesnel_Horsef,3,0.97,L_Adams,4,0.02,M_Horsefly,3,0.01,Horsefly,3,0,Eagle_L,4,0
587,,Narrows,1,0.45,Blackwater,1,0.3,Paula,1,0.16,Felix,1,0.04,Sandpoint,1,0.02
588,,Birkenhead,3,0.97,Narrows,1,0.02,LakeWashington,5,0.01,Kynock,1,0,,,
589,,Narrows,1,0.32,Blackwater,1,0.25,Paula,1,0.11,Quesnel_Horsef,3,0.1,Felix,1,0.04
590,,Birkenhead,3,1,,,,,,,,,,,,
591,,Pitt,2,1,,,,,,,,,,,,
592,,Pinchi_Cr,3,0.33,Phillips,6,0.3,Birkenhead,3,0.12,L_Adams,4,0.1,Chilko_south,2,0.1
593,,Quesnel_Horsef,3,0.78,Chilko,3,0.15,Chilko_south,2,0.03,L_Adams,4,0.02,Little,4,0.02
594,,Mitchell,3,0.78,Quesnel_Mitche,3,0.21,Blue_Lead_Ck,3,0.01,,,,,,
595,,Chilko,3,0.69,Quesnel_Horsef,3,0.3,Portage_Cr,4,0,Horsefly,3,0,Porter_Cr,1,0
596,,Seymour,2,0.54,Scotch,2,0.45,Portage_Cr,4,0.01,Chilko,3,0,Rossette,1,0
597,,Quesnel_Horsef,3,0.91,U_Horsefly,3,0.09,L_Horsefly,3,0,Horsefly,3,0,,,
598,,Quesnel_Mitche,3,1,Blue_Lead_Ck,3,0,Mitchell,3,0,Roaring,3,0,,,
599,,Nimpkish,7,0.84,Woss_Lake,7,0.16,,,,,,,,,
600,,Nimpkish,7,0.69,Woss_Lake,7,0.31,,,,,,,,,
601,,Middle,3,0.47,Chilko,3,0.18,Porter_Cr,1,0.08,Kynock,1,0.07,Gluskie,1,0.05
602,,Gates_Cr,2,1,,,,,,,,,,,,
603,,L_Adams,4,0.51,Chilko,3,0.49,Chilko_south,2,0,,,,,,
604,,Pitt,2,0.98,Weaver,4,0.01,Nadina,2,0.01,Chilko_south,2,0,Chilko,3,0
605,,Chilko,3,0.52,Chilko_south,2,0.2,L_Adams,4,0.14,Birkenhead,3,0.07,U_Horsefly,3,0.05
606,,Chilko,3,1,Chilko_south,2,0,,,,,,,,,
607,,Mitchell,3,0.99,Chilko,3,0.01,U_Horsefly,3,0.01,Blue_Lead_Ck,3,0,Wasko_Cr,3,0
608,,Chilko,3,0.99,Chilko_south,2,0,Mitchell,3,0,Stellako,3,0,Pinchi_Cr,3,0
609,,Mitchell,3,1,Quesnel_Mitche,3,0,,,,,,,,,
610,,U_Horsefly,3,0.97,L_Horsefly,3,0.01,L_Adams,4,0.01,Horsefly,3,0.01,McKinley,3,0
611,,Seymour,2,0.54,Scotch,2,0.46,Portage_Cr,4,0,,,,,,
612,,Mitchell,3,0.74,Quesnel_Mitche,3,0.21,Blue_Lead_Ck,3,0.05,Wasko_Cr,3,0,,,
613,,Quesnel_Mitche,3,1,Mitchell,3,0,Roaring,3,0,Birkenhead,3,0,,,
614,,Nimpkish,7,0.98,Woss_Lake,7,0.02,,,,,,,,,
615,,Nimpkish,7,0.99,Woss_Lake,7,0.01,,,,,,,,,
616,,Woss_Lake,7,0.85,Nimpkish,7,0.15,Vernon,7,0,,,,,,
617,,Nimpkish,7,0.98,Woss_Lake,7,0.02,,,,,,,,,
618,,Mitchell,3,0.78,Quesnel_Mitche,3,0.2,Blue_Lead_Ck,3,0.01,Wasko_Cr,3,0,,,
619,,Seymour,2,0.78,L_Adams,4,0.1,Chilko,3,0.04,Eagle,2,0.03,Quesnel_Mitche,3,0.02
620,,Quesnel_Horsef,3,0.97,L_Adams,4,0.01,Horsefly,3,0.01,Chilko,3,0.01,Chilko_south,2,0.01
621,,Pitt,2,1,L_Adams,4,0,,,,,,,,,
622,,Woss_Lake,7,0.99,Nimpkish,7,0.01,,,,,,,,,
623,,Quesnel_Horsef,3,0.99,M_Horsefly,3,0.01,Horsefly,3,0,L_Horsefly,3,0,,,
624,,L_Adams,4,0.63,Chilko,3,0.19,Little,4,0.12,Eagle_L,4,0.01,Seymour,2,0.01
625,,Blackwater,1,0.87,Sinta,1,0.06,Sandpoint,1,0.03,Kynock,1,0.01,Paula,1,0.01
626,,Chilko,3,0.49,Chilko_south,2,0.36,Blackwater,1,0.04,Nadina,2,0.03,L_Adams,4,0.03
627,,Chilko_south,2,0.57,L_Adams,4,0.41,Seymour,2,0.01,Scotch,2,0.01,MiddleShuswap,4,0
628,,L_Adams,4,0.67,Little,4,0.22,Pinchi_Cr,3,0.04,Chilko_south,2,0.02,Quesnel_Horsef,3,0.02
629,,Quesnel_Mitche,3,0.96,Mitchell,3,0.04,Blue_Lead_Ck,3,0,,,,,,
630,,Seymour,2,0.95,Eagle,2,0.05,Chilko_south,2,0,,,,,,
631,,Chilko,3,0.71,Mitchell,3,0.21,Blue_Lead_Ck,3,0.05,Quesnel_Horsef,3,0.02,Wasko_Cr,3,0
632,,Seymour,2,0.54,Scotch,2,0.45,Chilko,3,0.01,,,,,,
633,,Portage_Cr,4,0.78,Chilko,3,0.16,Thompson_N,2,0.02,Quesnel_Horsef,3,0.02,Raft,2,0.01
634,,Quesnel_Horsef,3,0.63,L_Horsefly,3,0.13,Portage_Cr,4,0.1,McKinley,3,0.07,Raft,2,0.03
635,,Birkenhead,3,0.97,Craig,14,0.01,Iskut,14,0.01,Quesnel_Mitche,3,0.01,Quesnel_Horsef,3,0
636,,Quesnel_Mitche,3,1,Mitchell,3,0,Roaring,3,0,,,,,,
637,,Quesnel_Horsef,3,0.85,U_Horsefly,3,0.09,Quesnel_Mitche,3,0.04,Roaring,3,0.01,Quesnel_Decept,3,0
638,,Quesnel_Mitche,3,1,Mitchell,3,0,,,,,,,,,
639,,Quesnel_Mitche,3,1,Mitchell,3,0,,,,,,,,,
640,,Nimpkish,7,0.96,Woss_Lake,7,0.04,,,,,,,,,
641,,Nimpkish,7,0.62,Woss_Lake,7,0.38,,,,,,,,,
642,,Pitt,2,0.29,Thoms_Lake,20,0.22,Seymour,2,0.21,Scotch,2,0.07,Pinchi_Cr,3,0.06
642,,Woss_Lake,7,1,Nimpkish,7,0,,,,,,,,,
644,,Chilko,3,0.54,L_Adams,4,0.36,L_Shuswap,4,0.05,Eagle_L,4,0.01,MiddleShuswap,4,0.01
645,,Seymour,2,0.9,Eagle,2,0.09,Scotch,2,0.01,,,,,,
646,,L_Adams,4,0.75,Little,4,0.23,Quesnel_Horsef,3,0.01,Portage_Cr,4,0.01,Chilko_south,2,0
647,,Quesnel_Horsef,3,0.6,L_Horsefly,3,0.39,Wasko_Cr,3,0.01,M_Horsefly,3,0,U_Horsefly,3,0
649,,Chilko,3,0.92,Chilko_south,2,0.07,Chilko-North,3,0,Bowron,2,0,,,
650,,Chilko,3,0.99,Nahatlatch,2,0.01,Chilko_south,2,0.01,Roaring,3,0,L_Adams,4,0
651,,Portage_Cr,4,0.91,Seymour,2,0.07,Chilko,3,0.02,Little,4,0,L_Adams,4,0
652,,Pinchi_Cr,3,0.94,Middle,3,0.06,Kuzkwa_Cr,3,0,Bivouac,1,0,Chilko_south,2,0
653,,Seymour,2,0.78,Eagle,2,0.12,L_Adams,4,0.03,Little,4,0.03,L_Shuswap,4,0.02
654,,Nimpkish,7,0.74,Vernon,7,0.19,Woss_Lake,7,0.07,,,,,,
655,,L_Adams,4,0.81,Wasko_Cr,3,0.13,Little,4,0.05,Roaring,3,0.01,Blue_Lead_Ck,3,0
656,,Chilko,3,0.97,Quesnel_Horsef,3,0.01,Chilko_south,2,0,L_Horsefly,3,0,Bowron,2,0
657,,Chilko,3,0.79,Chilko_south,2,0.16,Quesnel_Horsef,3,0.02,L_Horsefly,3,0.01,Blackwater,1,0.01
658,,Mitchell,3,0.98,Wasko_Cr,3,0.01,Blue_Lead_Ck,3,0.01,Quesnel_Mitche,3,0,Roaring,3,0
659,,Pinchi_Cr,3,0.88,Stellako,3,0.03,Kuzkwa_Cr,3,0.02,Seymour,2,0.02,Long_Lake,15,0.02
660,,Chilko,3,0.54,Chilko_south,2,0.35,Quesnel_Horsef,3,0.1,Pinchi_Cr,3,0.01,Horsefly,3,0
661,,Chilko,3,0.89,Pinchi_Cr,3,0.05,Chilko_south,2,0.05,Birkenhead,3,0.01,Middle,3,0
662,,Kynock,1,0.69,Forfar,1,0.15,Bivouac,1,0.1,Sandpoint,1,0.02,Porter_Cr,1,0.01
663,,Pitt,2,0.62,BoarderSlough,17,0.14,Dallery,18,0.13,Tweedsmuir,17,0.05,Neechanz,18,0.02
664,,L_Shuswap,4,0.82,MiddleShuswap,4,0.1,Eagle_L,4,0.03,Little,4,0.02,Pitt,2,0.02
665,,Quesnel_Mitche,3,0.96,Mitchell,3,0.04,,,,,,,,,
666,,L_Adams,4,0.82,Little,4,0.12,Seymour,2,0.06,Chilko,3,0,,,
667,,Mitchell,3,0.54,Chilko,3,0.39,Wasko_Cr,3,0.06,Roaring,3,0,Quesnel_Horsef,3,0
668,,Chilko,3,0.68,Chilko_south,2,0.29,Raft,2,0.02,L_Adams,4,0.01,Portage_Cr,4,0
669,,Scotch,2,0.94,Seymour,2,0.06,Eagle,2,0,,,,,,
670,,Blackwater,1,0.99,Sinta,1,0,Sandpoint,1,0,Quesnel_Horsef,3,0,Bivouac,1,0
671,,Mitchell,3,1,Wasko_Cr,3,0,,,,,,,,,
672,,Seymour,2,0.99,Eagle,2,0.01,U_Adams,2,0,Portage_Cr,4,0,Scotch,2,0
673,,Chilko_south,2,0.74,Chilko,3,0.19,Pinchi_Cr,3,0.04,L_Adams,4,0.03,Eagle_L,4,0
674,,Seymour,2,0.92,Eagle,2,0.06,Scotch,2,0.02,L_Adams,4,0,Little,4,0
675,,Nahatlatch,2,0.91,Seymour,2,0.09,Wasko_Cr,3,0,Chilko,3,0,,,
676,,Blackwater,1,0.97,Chilko,3,0.01,Sinta,1,0.01,Sandpoint,1,0.01,Middle,3,0
677,,Chilko,3,0.98,L_Adams,4,0.01,Chilko_south,2,0.01,Chilko-North,3,0,Great_Central,7,0
678,,Little,4,0.91,L_Adams,4,0.09,Chilko_south,2,0,MiddleShuswap,4,0,Blackwater,1,0
679,,Chilko,3,0.71,Chilko_south,2,0.15,L_Adams,4,0.12,Little,4,0.02,Eagle_L,4,0
680,,Quesnel_Mitche,3,0.96,Mitchell,3,0.04,,,,,,,,,
681,,Birkenhead,3,1,,,,,,,,,,,,
682,,L_Adams,4,0.74,Little,4,0.23,Portage_Cr,4,0.03,Chilko,3,0,Nahatlatch,2,0
683,,Mitchell,3,1,Wasko_Cr,3,0,Blue_Lead_Ck,3,0,Quesnel_Mitche,3,0,,,
684,,Pitt,2,0.42,Seymour,2,0.27,Chilko,3,0.13,Mitchell,3,0.07,Chilko_south,2,0.04
685,,Scotch,2,0.96,Seymour,2,0.04,L_Adams,4,0,Eagle_L,4,0,Eagle,2,0
686,,Nahatlatch,2,0.91,Dust,1,0.02,Chilliw_lake,2,0.01,L_Adams,4,0.01,Chilko_south,2,0.01
687,,Chilko,3,0.74,Chilko_south,2,0.24,L_Adams,4,0.01,Wasko_Cr,3,0,Little,4,0
688,,Chilko_south,2,1,Chilko,3,0,Pinchi_Cr,3,0,,,,,,
689,,Quesnel_Mitche,3,0.97,Mitchell,3,0.04,,,,,,,,,
690,,Chilko,3,0.95,Pinchi_Cr,3,0.04,Chilko_south,2,0,Kynock,1,0,,,
691,,Mitchell,3,1,Quesnel_Mitche,3,0,,,,,,,,,
692,,Chilko,3,1,L_Adams,4,0,,,,,,,,,
693,,Chilko,3,1,Scotch,2,0,Middle,3,0,Chilko-North,3,0,Pitt,2,0
