"","ufn","semsp_id","sample_type","sample_id","container_id","container_cell","sample_location","comments_sample","sample_status","sample_qc_flag","sample_flag_reason","sample_qc_log","container_type","storage_medium","date_updated","current_location","storage_unit","storage_tier_1","storage_tier_2","shipping_container","date_shipped","shipping_destination","date_received","expecting_return","date_returned","comments"
"45","U2430","2016-05-21-J07-SO-4","fatty_acid","S2430FA1","BFASO34",82,"BFASO34-82",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 8",NA,NA,NA,NA,NA,NA,NA
"46","U2431","2016-05-21-J07-SO-2","fatty_acid","S2431FA1","BFASO34",84,"BFASO34-84",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 8",NA,NA,NA,NA,NA,NA,NA
"47","U2439","2016-05-21-J07-SO-3","fatty_acid","S2439FA1","BFASO34",100,"BFASO34-100",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 8",NA,NA,NA,NA,NA,NA,NA
"48","U2619","2016-06-03-J07-SO-15","fatty_acid","S2619FA1","BFASO38",38,"BFASO38-38",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 9",NA,NA,NA,NA,NA,NA,NA
"49","U292","2015-05-16-D07-SO-22","fatty_acid","S292FA1","BFASO2",58,"BFASO2-58",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 2",NA,NA,NA,NA,NA,NA,NA
"50","U294","2015-05-16-D07-SO-25","fatty_acid","S294FA1","BFASO2",61,"BFASO2-61",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 2",NA,NA,NA,NA,NA,NA,NA
"51","U295","2015-05-16-D07-SO-24","fatty_acid","S295FA1","BFASO2",69,"BFASO2-69",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 2",NA,NA,NA,NA,NA,NA,NA
"52","U301","2015-05-16-D07-SO-27","fatty_acid","S301FA1","BFASO2",81,"BFASO2-81",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 2",NA,NA,NA,NA,NA,NA,NA
"53","U302","2015-05-16-D07-SO-23","fatty_acid","S302FA1","BFASO2",80,"BFASO2-80",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 2",NA,NA,NA,NA,NA,NA,NA
"54","U303","2015-05-16-D07-SO-28","fatty_acid","S303FA1","BFASO2",65,"BFASO2-65",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 2",NA,NA,NA,NA,NA,NA,NA
"55","U4376","2016-06-09-D07-SO-3","fatty_acid","SFA4776","BFASO44",92,"BFASO44-92",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 14",NA,NA,NA,NA,NA,NA,NA
"56","U4377","2016-06-09-D07-SO-6","fatty_acid","SFA4777","BFASO44",98,"BFASO44-98",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 14",NA,NA,NA,NA,NA,NA,NA
"57","U4378","2016-06-03-D07-SO-17","fatty_acid","SFA4778","BFASO45",40,"BFASO45-40",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"58","U4379","2016-06-09-D07-SO-2","fatty_acid","SFA4779","BFASO44",83,"BFASO44-83",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 14",NA,NA,NA,NA,NA,NA,NA
"59","U4380","2016-06-09-D07-SO-4","fatty_acid","SFA4780","BFASO44",87,"BFASO44-87",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 14",NA,NA,NA,NA,NA,NA,NA
"60","U4391","2016-06-09-D07-SO-22","fatty_acid","SFA4791","BFASO47",69,"BFASO47-69",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"61","U4400","2016-06-03-D07-SO-12","fatty_acid","SFA4800","BFASO45",23,"BFASO45-23",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"62","U4401","2016-06-03-D07-SO-15","fatty_acid","SFA4801","BFASO45",29,"BFASO45-29",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"63","U4402","2016-06-03-D07-SO-20","fatty_acid","SFA4802","BFASO45",36,"BFASO45-36",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"64","U4421","2016-06-09-D07-SO-5","fatty_acid","SFA4821","BFASO44",85,"BFASO44-85",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 14",NA,NA,NA,NA,NA,NA,NA
"65","U4423","2016-06-09-D07-SO7","fatty_acid","SFA4823","BFASO44",94,"BFASO44-94",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 14",NA,NA,NA,NA,NA,NA,NA
"66","U4468","2016-05-14-D07-SO1","fatty_acid","SFA4868","BFASO46",72,"BFASO46-72",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"67","U4514","2016-05-14-D07-SO-2","fatty_acid","SFA4914","BFASO46",74,"BFASO46-74",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"68","U4515","2016-05-14-D07-SO-5","fatty_acid","SFA4915","BFASO46",83,"BFASO46-83",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"69","U4516","2016-05-14-D07-SO-14","fatty_acid","SFA4916","BFASO46",87,"BFASO46-87",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"70","U4554","2016-06-09-D07-SO-21","fatty_acid","SFA4954","BFASO47",71,"BFASO47-71",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"71","U4567","2016-05-19-D07-SO-8","fatty_acid","SFA4967","BFASO48",51,"BFASO48-51",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"72","U4568","2016-05-19-D07-SO-11","fatty_acid","SFA4968","BFASO48",54,"BFASO48-54",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"73","U4569","2016-05-19-D07-SO-9","fatty_acid","SFA4969","BFASO48",59,"BFASO48-59",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"74","U4570","2016-05-19-D07-SO-10","fatty_acid","SFA4970","BFASO48",65,"BFASO48-65",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"75","U4575","2016-06-16-D07-SO-17","fatty_acid","SFA4975","BFASO48",83,"BFASO48-83",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"76","U4576","2016-06-16-D07-SO-11","fatty_acid","SFA4976","BFASO48",85,"BFASO48-85",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"77","U4577","2016-06-16-D07-SO-15","fatty_acid","SFA4977","BFASO48",86,"BFASO48-86",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"78","U4632","2016-05-19-D07-SO-18","fatty_acid","SFA5032","BFASO48",46,"BFASO48-46",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"79","U4639","2016-06-16-D07-SO-12","fatty_acid","SFA5039","BFASO48",81,"BFASO48-81",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"80","U4640","2016-06-16-D07-SO-19","fatty_acid","SFA5040","BFASO48",84,"BFASO48-84",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"81","U4663","2016-05-19-D07-SO-16","fatty_acid","SFA5063","BFASO48",43,"BFASO48-43",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"82","U4664","2016-05-19-D07-SO-30","fatty_acid","SFA5064","BFASO48",47,"BFASO48-47",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"83","U4665","2016-05-19-D07-SO-17","fatty_acid","SFA5065","BFASO48",49,"BFASO48-49",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"84","U4666","2016-05-19-D07-SO-6","fatty_acid","SFA5066","BFASO48",53,"BFASO48-53",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"85","U4667","2016-05-19-D07-SO-1","fatty_acid","SFA5067","BFASO48",57,"BFASO48-57",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"86","U4668","2016-05-19-D07-SO-13","fatty_acid","SFA5068","BFASO48",61,"BFASO48-61",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"87","U4669","2016-05-19-D07-SO-4","fatty_acid","SFA5069","BFASO48",63,"BFASO48-63",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"88","U4670","2016-05-19-D07-SO-2","fatty_acid","SFA5070","BFASO48",66,"BFASO48-66",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"89","U4681","2016-05-19-D07-SO-3","fatty_acid","SFA5081","BFASO48",48,"BFASO48-48",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"90","U4682","2016-05-19-D07-SO-5","fatty_acid","SFA5082","BFASO48",52,"BFASO48-52",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
"91","U4683","2016-05-19-D07-SO-7","fatty_acid","SFA5083","BFASO48",56,"BFASO48-56",NA,"collected","N",NA,NA,"fatty_acid","frozen -80",NA,"Hakai Quadra Prep Lab","-80 Freezer 1","Shelf 5","Tray 15",NA,NA,NA,NA,NA,NA,NA
