UFN,UFN,BOX #,WELL #,UFN,NOTES
U317,U317,104,54,U317,
U308,U308,104,55,U308,
U318,U318,104,56,U318,
U543,U543,105,1,U543,
U544,U544,105,2,U544,
U534,U534,105,3,U534,
U525,U525,105,4,U525,
U535,U535,105,5,U535,
U545,U545,105,6,U545,
U863,U863,105,7,U863,
U885,U885,105,8,U885,
U892,U892,105,9,U892,
U886,U886,105,10,U886,
U887,U887,105,11,U887,
U888,U888,105,12,U888,
U889,U889,105,13,U889,
U890,U890,105,14,U890,
U893,U893,105,15,U893,
U894,U894,105,16,U894,
U895,U895,105,17,U895,
U896,U896,105,18,U896,
U897,U897,105,19,U897,
U898,U898,105,20,U898,
U901,U901,105,21,U901,
U852,U852,105,22,U852,
U902,U902,105,23,U902,
U903,U903,105,24,U903,
U899,U899,105,25,U899,
U900,U900,105,26,U900,
U911,U911,105,27,U911,
U904,U904,105,28,U904,
U872,U872,105,29,U872,
U853,U853,105,30,U853,
U905,U905,105,31,U905,
U906,U906,105,32,U906,
U874,U874,105,33,U874,
U875,U875,105,34,U875,
U912,U912,105,35,U912,
U913,U913,105,36,U913,
U851,U851,105,37,U851,
U532,U532,105,38,U532,
U523,U523,105,39,U523,
U533,U533,105,40,U533,
U524,U524,105,41,U524,
U1328,U1328,105,42,U1328,
U1310,U1310,105,43,U1310,
U1316,U1316,105,44,U1316,
U1330,U1330,105,45,U1330,
U767,U767,105,46,U767,
U771,U771,105,47,U771,
U772,U772,105,48,U772,
U768,U768,105,49,U768,
U773,U773,105,50,U773,
U769,U769,105,51,U769,
U791,U791,105,52,U791,
U792,U792,105,53,U792,
U774,U774,105,54,U774,
U755,U755,105,55,U755,
U770,U770,105,56,U770,
U801,U801,105,57,U801,
U802,U802,105,58,U802,
U775,U775,105,59,U775,
U776,U776,105,60,U776,
U777,U777,105,61,U777,
U803,U803,105,62,U803,
U793,U793,105,63,U793,
U794,U794,105,64,U794,
U795,U795,105,65,U795,
U796,U796,105,66,U796,
U1083,U1083,105,67,U1083,
U1061,U1061,105,68,U1061,
U1062,U1062,105,69,U1062,
U1074,U1074,105,70,U1074,
U1075,U1075,105,71,U1075,
U1063,U1063,105,72,U1063,
U1092,U1092,105,73,U1092,
U1093,U1093,105,74,U1093,
U1094,U1094,105,75,U1094,
U1095,U1095,105,76,U1095,
1819,U1819,105,77,U1819,
1823,U1823,105,78,U1823,
1820,U1820,105,79,U1820,
1824,U1824,105,80,U1824,
1831,U1831,105,81,U1831,
1825,U1825,105,82,U1825,
1836,U1836,105,83,U1836,
1842,U1842,105,84,U1842,
1837,U1837,105,85,U1837,
1843,U1843,105,86,U1843,
1846,U1846,105,87,U1846,
1847,U1847,105,88,U1847,
1848,U1848,105,89,U1848,
1849,U1849,105,90,U1849,
3111,U3111,CU5,1,U3111,
3112,U3112,CU5,3,U3112,
3113,U3113,CU5,5,U3113,
3114,U3114,CU5,7,U3114,
3115,U3115,CU5,9,U3115,
3116,U3116,CU5,12,U3116,
3117,U3117,CU5,14,U3117,
3118,U3118,CU5,16,U3118,
3119,U3119,CU5,18,U3119,
3120,U3120,CU5,20,U3120,
3121,U3121,CU5,21,U3121,
3122,U3122,CU5,23,U3122,
3123,U3123,CU5,25,U3123,
3124,U3124,CU5,27,U3124,
3125,U3125,CU5,29,U3125,
3126,U3126,CU5,32,U3126,
3127,U3127,CU5,34,U3127,
3128,U3128,CU5,36,U3128,
3129,U3129,CU5,38,U3129,
3130,U3130,CU5,40,U3130,
3131,U3131,CU5,41,U3131,
3132,U3132,CU5,43,U3132,
