sampleID,barcode,name,description,note,quantity,expiration,created,Storage,storageLayerName,Storage Position,storageLayerID,fullName,clonedFrom,clonedFromSampleID,Sample Status,Tissue Type
7207734,S22015RG1,S22015RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,C.5,597164,elab JSP,,,Collected,Gill
7207736,S22017RG1,S22017RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,B.5,597164,elab JSP,,,Collected,Gill
7207739,S22020RG1,S22020RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,A.5,597164,elab JSP,,,Collected,Gill
7207740,S22016RG1,S22016RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,F.6,597164,elab JSP,,,Collected,Gill
7207742,S22013RG1,S22013RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,G.6,597164,elab JSP,,,Collected,Gill
7207743,S22018RG1,S22018RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.6,597164,elab JSP,,,Collected,Gill
7207745,S22019RG1,S22019RG1,,,,,2019-07-10 22:12,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,D.6,597164,elab JSP,,,Collected,Gill
7217912,S20508RG1,S20508RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.4,599576,elab JSP,,,Collected,Gill
7217913,S20507RG1,S20507RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,E.4,599576,elab JSP,,,Collected,Gill
7217915,S20506RG1,S20506RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,C.4,599576,elab JSP,,,Collected,Gill
7217916,S20505RG1,S20505RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,F.4,599576,elab JSP,,,Collected,Gill
7217918,S20503RG1,S20503RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,B.4,599576,elab JSP,,,Collected,Gill
7217919,S20501RG1,S20501RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,A.4,599576,elab JSP,,,Collected,Gill
7217922,S20502RG1,S20502RG1,,,,,2019-07-12 15:22,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,H.5,599576,elab JSP,,,Collected,Gill
