seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,seine_comments
DN376,DE276,NA,targeted,7,14:10:00,50.191099,-125.138578,30,100,10,70,10,70,0,0,0,0,NA,NA,1,NA
DN377,DE277,NA,targeted,4,06:30:00,50.30908,-125.325703,30,600,10,40,10,40,1,1,0,0,NA,NA,1,YSI did not calibrate this morning- fluctuating readings. Coho neglected and in dry shipper.
DN378,DE278,NA,targeted,19,09:30:00,50.274701,-125.377445,30,600,10,100,10,100,0,0,4,4,NA,NA,1,NA
DN379,DE279,1,targeted,45,13:00:00,50.224106,-125.395004,0,0,0,0,0,0,0,0,0,0,NA,NA,1,First set originally not entered due to no fish in catch. Set surface activity was not recorded for first set.
DN380,DE279,2,targeted,45,13:25:00,50.224106,-125.395004,30,600,10,60,10,60,7,7,3,3,NA,NA,1,NA
DN381,DE281,NA,NA,30,07:15:00,50.348158,-125.455649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN382,DE282,NA,targeted,33,08:44:00,50.392115,-125.374782,30,500,4,4,4,7,2,3,0,0,NA,NA,1,NA
DN383,DE283,NA,NA,30,13:14:00,50.462287,-125.36441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN384,DE284,1,targeted,42,07:13:00,50.3175,-125.050736,0,3,0,1,0,9,0,1,0,0,NA,NA,1,NA
DN385,DE284,2,targeted,42,07:52:00,50.3175,-125.050736,0,2,0,40,0,20,0,2,0,0,NA,NA,1,NA
DN386,DE286,NA,NA,20,10:11:00,50.238058,-125.117858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN387,DE287,NA,targeted,5,11:06:00,50.190737,-125.143169,30,600,10,80,10,80,0,0,0,0,NA,NA,1,NA
DN388,DE288,NA,targeted,9,07:00:00,50.243773,-125.397476,30,400,10,40,8,20,0,0,0,1,NA,NA,1,NA
DN389,DE289,NA,NA,22,10:44:00,50.274454,-125.377924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN390,DE290,1,targeted,5,11:30:00,50.304166,-125.333511,0,0,0,0,0,0,0,0,0,0,NA,NA,1,"Caught net on bottom, abandoned set to free net."
DN391,DE290,2,targeted,5,12:32:00,50.304166,-125.333511,30,200,9,9,10,13,0,0,4,4,NA,NA,1,NA
DN392,DE292,NA,targeted,0,07:47:00,50.308769,-125.326765,30,200,3,3,10,60,0,0,0,0,NA,NA,1,NA
DN393,DE293,NA,targeted,0,10:50:00,50.274055,-125.328828,30,1000,10,100,10,100,1,2,10,13,NA,NA,1,NA
DN394,DE294,NA,targeted,2,14:35:00,50.24565,-125.396035,30,50,10,100,10,10,0,0,0,0,NA,NA,1,First dayaltering search time method. First day with altered set/site-wide surface activity
DN395,DE295,NA,targeted,7,07:17:00,50.347739,-125.45463,30,400,4,4,10,100,0,0,3,3,NA,NA,1,Boat/Net pushed around in current while maneuvering boat into ssafe position. Significant scale loss. Fish may not be suitable for sea lice enumeration.
DN396,DE296,NA,targeted,5,10:38:00,50.386065,-125.376067,30,200,6,6,10,200,0,0,0,0,NA,NA,1,NA
DN397,DE297,NA,targeted,5,14:39:00,50.462513,-125.368231,30,300,4,100,3,80,0,0,0,1,NA,NA,1,NA
DN398,DE298,NA,NA,27,07:17:00,50.319834,-125.042363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN399,DE299,NA,targeted,3,08:21:00,50.239953,-125.126574,30,200,10,200,10,200,1,1,0,0,NA,NA,1,NA
DN400,DE300,NA,targeted,4,12:45:00,50.190887,-125.143416,30,600,10,100,10,100,1,2,0,0,NA,NA,1,NA
DN401,DE301,NA,targeted,1,08:25:00,50.30436,-125.332956,30,80,0,0,10,15,0,0,0,0,NA,NA,1,"Visual estimate of catch: 80 sockeye, 5 chum, 3 chinook. Census of catch (milk jug scoop): 82 sockeye, 8 chum, 3 chinook.Total abundance estimate: B: 110, L: 80, M: 60"
DN402,DE302,NA,targeted,4,13:10:00,50.242671,-125.398265,30,570,10,36,10,80,1,2,10,16,NA,NA,1,"Counted fish individually as they swam over the corks during release process for more precise enumeration. Numbers on reverse of data sheet. Enumerated numbers was conducted after sampling and does not include sampled fish. Sockeye: 537, chum: 71, pink: 36, coho: 1, herring: 6"
DN403,DE303,NA,targeted,4,06:40:00,50.347862,-125.455554,30,400,10,100,10,100,0,0,0,0,NA,NA,1,NA
DN404,DE304,NA,NA,20,09:57:00,50.389498,-125.369949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN405,DE305,1,targeted,17,11:45:00,50.461604,-125.368943,0,0,0,0,0,0,0,0,0,0,NA,NA,1,No fish in first set.
DN406,DE305,2,targeted,17,12:00:00,50.461604,-125.368943,30,100,10,50,10,50,1,1,0,0,NA,NA,1,NA
DN407,DE307,NA,targeted,2,07:00:00,50.31794,-125.050807,0,0,10,26,10,40,1,1,1,1,NA,NA,1,NA
DN408,DE308,NA,targeted,1,10:30:00,50.190683,-125.143138,30,80,10,60,4,100,0,0,0,0,NA,NA,1,"Fish became unhappy in net, released before able to take all 10 chum samples"
DN409,DE309,NA,NA,7,13:24:00,49.99628,-125.153277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN410,DE310,1,targeted,0,06:35:00,50.021998,-124.916211,0,0,0,0,0,10,0,1,0,0,NA,NA,1,NA
DN411,DE310,2,targeted,0,07:05:00,50.021998,-124.916211,1,1,8,10,5,6,0,0,0,0,NA,NA,1,NA
DN412,DE312,NA,NA,6,08:29:00,49.917424,-125.164588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN413,DE313,NA,NA,30,09:42:00,49.996293,-125.146925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
DN414,DE314,NA,NA,25,08:08:00,50.462143,-125.364742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
