ufn,sample_type,sample_id,storage_medium,container_id,container_cell,sample_location,qaqc,comments_sample,sample_status,quality_log
U741,isotope,SIS1322,Frozen -20,BISSO26,52,BISSO26-52,TRUE,NA,NA,NA
U741,genetic_stock_id,SDN1322,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U741,stomach,SST1322,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U741,otolith,SOT1322,Dry,BOTSO15,B1,BOTSO15-B1,TRUE,NA,NA,NA
U741,scale,U741,Dry,BSC29,1,BSC29-1,TRUE,NA,NA,NA
U741,carcass,U741,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U741,sealice,SSL1322,Formalin,BSLSO26,60,BSLSO26-60,TRUE,NA,NA,NA
U742,RNA,U742,Frozen -80,BRNA12,E10,BRNA12-E10,TRUE,NA,NA,NA
U742,fatty_acid,SFA1323,Frozen -80,BFASO23,21,BFASO23-21,TRUE,NA,NA,NA
U742,isotope,SIS1323,Frozen -20,BISSO26,60,BISSO26-60,TRUE,NA,NA,NA
U742,genetic_stock_id,SDN1323,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U742,stomach,SST1323,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U742,otolith,SOT1323,Dry,BOTSO15,B2,BOTSO15-B2,TRUE,NA,NA,NA
U742,scale,U742,Dry,BSC29,2,BSC29-2,TRUE,NA,NA,NA
U742,carcass,U742,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U742,sealice,SSL1323,Formalin,BSLSO26,63,BSLSO26-63,TRUE,NA,NA,NA
U743,RNA,U743,Frozen -80,BRNA12,D10,BRNA12-D10,TRUE,NA,NA,NA
U743,fatty_acid,SFA1335,Frozen -80,BFASO23,27,BFASO23-27,TRUE,NA,NA,NA
U743,isotope,SIS1335,Frozen -20,BISSO26,65,BISSO26-65,TRUE,NA,NA,NA
U743,genetic_stock_id,SDN1335,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U743,stomach,SST1335,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U743,otolith,SOT1335,Dry,BOTSO15,B3,BOTSO15-B3,TRUE,NA,NA,NA
U743,scale,U743,Dry,BSC29,3,BSC29-3,TRUE,NA,NA,NA
U743,carcass,U743,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U743,sealice,SSL1335,Formalin,BSLSO26,72,BSLSO26-72,TRUE,NA,NA,NA
U744,RNA,U744,Frozen -80,BRNA12,C10,BRNA12-C10,TRUE,NA,NA,NA
U744,fatty_acid,SFA1336,Frozen -80,BFASO23,34,BFASO23-34,TRUE,NA,NA,NA
U744,isotope,SIS1336,Frozen -20,BISSO26,72,BISSO26-72,TRUE,NA,NA,NA
U744,genetic_stock_id,SDN1336,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U744,stomach,SST1336,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U744,otolith,SOT1336,Dry,BOTSO15,B4,BOTSO15-B4,TRUE,NA,NA,NA
U744,scale,U744,Dry,BSC29,4,BSC29-4,TRUE,NA,NA,NA
U744,carcass,U744,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U744,sealice,SSL1336,Formalin,BSLSO26,80,BSLSO26-80,TRUE,NA,NA,NA
U745,RNA,U745,Frozen -80,BRNA12,B10,BRNA12-B10,TRUE,NA,NA,NA
U745,fatty_acid,SFA1337,Frozen -80,BFASO23,38,BFASO23-38,TRUE,NA,NA,NA
U745,isotope,SIS1337,Frozen -20,BISSO26,76,BISSO26-76,TRUE,NA,NA,NA
U745,genetic_stock_id,SDN1337,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U745,stomach,SST1337,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U745,otolith,SOT1337,Dry,BOTSO15,B5,BOTSO15-B5,TRUE,NA,NA,NA
U745,scale,U745,Dry,BSC29,5,BSC29-5,TRUE,NA,NA,NA
U745,carcass,U745,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U745,sealice,SSL1337,Formalin,BSLSO26,83,BSLSO26-83,TRUE,NA,NA,NA
U746,RNA,U746,Frozen -80,BRNA12,A10,BRNA12-A10,TRUE,NA,NA,NA
U746,fatty_acid,SFA1338,Frozen -80,BFASO23,47,BFASO23-47,TRUE,NA,NA,NA
U746,isotope,SIS1338,Frozen -20,BISSO26,85,BISSO26-85,TRUE,NA,NA,NA
U746,genetic_stock_id,SDN1338,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U746,stomach,SST1338,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U746,otolith,SOT1338,Dry,BOTSO15,B6,BOTSO15-B6,TRUE,NA,NA,NA
U746,scale,U746,Dry,BSC29,6,BSC29-6,TRUE,NA,NA,NA
U746,carcass,U746,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U746,sealice,SSL1338,Formalin,BSLSO26,89,BSLSO26-89,TRUE,NA,NA,NA
U747,RNA,U747,Frozen -80,BRNA13,H3,BRNA13-H3,TRUE,NA,NA,NA
U747,fatty_acid,SFA1339,Frozen -80,BFASO23,54,BFASO23-54,TRUE,NA,NA,NA
U747,isotope,SIS1339,Frozen -20,BISSO26,92,BISSO26-92,TRUE,NA,NA,NA
U747,genetic_stock_id,SDN1339,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U747,stomach,SST1339,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U747,otolith,SOT1339,Dry,BOTSO15,B7,BOTSO15-B7,TRUE,NA,NA,NA
U747,scale,U747,Dry,BSC29,7,BSC29-7,TRUE,NA,NA,NA
U747,carcass,U747,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U747,sealice,SSL1339,Formalin,BSLSO26,98,BSLSO26-98,TRUE,NA,NA,NA
U748,RNA,U748,Frozen -80,BRNA13,G3,BRNA13-G3,TRUE,NA,NA,NA
U748,fatty_acid,SFA1356,Frozen -80,BFASO23,74,BFASO23-74,TRUE,NA,NA,NA
U748,isotope,SIS1356,Frozen -20,BISSO27,12,BISSO27-12,TRUE,NA,NA,NA
U748,genetic_stock_id,SDN1356,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U748,stomach,SST1356,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U748,scale,U748,Dry,BSC29,8,BSC29-8,TRUE,NA,NA,NA
U748,carcass,U748,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U748,sealice,SSL1356,Formalin,BSLSO27,23,BSLSO27-23,TRUE,NA,NA,NA
U749,RNA,U749,Frozen -80,BRNA13,F3,BRNA13-F3,TRUE,NA,NA,NA
U749,fatty_acid,SFA1357,Frozen -80,BFASO23,92,BFASO23-92,TRUE,NA,NA,NA
U749,isotope,SIS1357,Frozen -20,BISSO27,20,BISSO27-20,TRUE,NA,NA,NA
U749,genetic_stock_id,SDN1357,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U749,stomach,SST1357,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U749,otolith,SOT1357,Dry,BOTSO15,B9,BOTSO15-B9,TRUE,NA,NA,NA
U749,scale,U749,Dry,BSC29,9,BSC29-9,TRUE,NA,NA,NA
U749,carcass,U749,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U750,RNA,U750,Frozen -80,BRNA13,E3,BRNA13-E3,TRUE,NA,NA,NA
U750,fatty_acid,SFA1358,Frozen -80,BFASO23,96,BFASO23-96,TRUE,NA,NA,NA
U750,isotope,SIS1358,Frozen -20,BISSO27,34,BISSO27-34,TRUE,NA,NA,NA
U750,genetic_stock_id,SDN1358,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U750,stomach,SST1358,95 % Non-Denatured Ethanol,BST58,NA,BST58-NA,TRUE,NA,NA,NA
U750,otolith,SOT1358,Dry,BOTSO15,B10,BOTSO15-B10,TRUE,NA,NA,NA
U750,scale,U750,Dry,BSC29,10,BSC29-10,TRUE,NA,NA,NA
U750,carcass,U750,Frozen -20,BCA24,NA,BCA24-NA,TRUE,NA,NA,NA
U750,sealice,SSL1358,Formalin,BSLSO27,36,BSLSO27-36,TRUE,NA,NA,NA
U751,RNA,U751,Frozen -80,BRNA6,E1,BRNA6-E1,TRUE,NA,NA,NA
U751,fatty_acid,SFA696,Frozen -80,BFASO10,36,BFASO10-36,TRUE,NA,NA,NA
U751,isotope,SIS696,Frozen -20,BISSO13,76,BISSO13-76,TRUE,NA,NA,NA
U751,genetic_stock_id,SDN696,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U751,stomach,SST696,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U751,otolith,SOT696,Dry,BOTSO8,B14,BOTSO8-B14,TRUE,NA,NA,NA
U751,scale,U751,Dry,BSC7,1,BSC7-1,TRUE,NA,NA,NA
U751,carcass,U751,Frozen -20,BCA13,NA,BCA13-NA,TRUE,NA,NA,NA
U751,sealice,SSL696,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U752,RNA,U752,Frozen -80,BRNA6,D1,BRNA6-D1,TRUE,NA,NA,NA
U752,fatty_acid,SFA708,Frozen -80,BFASO10,72,BFASO10-72,TRUE,NA,NA,NA
U752,isotope,SIS708,Frozen -20,BISSO14,12,BISSO14-12,TRUE,NA,NA,NA
U752,genetic_stock_id,SDN708,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U752,stomach,SST708,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U752,otolith,SOT708,Dry,BOTSO8,B20,BOTSO8-B20,TRUE,NA,NA,NA
U752,scale,U752,Dry,BSC7,2,BSC7-2,TRUE,NA,NA,NA
U752,carcass,U752,Frozen -20,BCA14,NA,BCA14-NA,TRUE,NA,NA,NA
U752,sealice,SSL708,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U753,RNA,U753,Frozen -80,BRNA6,C1,BRNA6-C1,TRUE,NA,NA,NA
U753,fatty_acid,SFA709,Frozen -80,BFASO10,74,BFASO10-74,TRUE,NA,NA,NA
U753,isotope,SIS709,Frozen -20,BISSO14,14,BISSO14-14,TRUE,NA,NA,NA
U753,genetic_stock_id,SDN709,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U753,stomach,SST709,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U753,otolith,SOT709,Dry,BOTSO8,C1,BOTSO8-C1,TRUE,NA,NA,NA
U753,scale,U753,Dry,BSC7,3,BSC7-3,TRUE,NA,NA,NA
U753,carcass,U753,Frozen -20,BCA14,NA,BCA14-NA,TRUE,NA,NA,NA
U753,sealice,SSL709,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U754,RNA,U754,Frozen -80,BRNA6,B1,BRNA6-B1,TRUE,NA,NA,NA
U754,fatty_acid,SFA710,Frozen -80,BFASO10,78,BFASO10-78,TRUE,NA,NA,NA
U754,isotope,SIS710,Frozen -20,BISSO14,18,BISSO14-18,TRUE,NA,NA,NA
U754,genetic_stock_id,SDN710,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U754,stomach,SST710,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U754,otolith,SOT710,Dry,BOTSO8,C4,BOTSO8-C4,TRUE,NA,NA,NA
U754,scale,U754,Dry,BSC7,4,BSC7-4,TRUE,NA,NA,NA
U754,carcass,U754,Frozen -20,BCA14,NA,BCA14-NA,TRUE,NA,NA,NA
U754,sealice,SSL710,Formalin,BSLSO14,36,BSLSO14-36,TRUE,NA,NA,NA
U755,RNA,U755,Frozen -80,BRNA6,H11,BRNA6-H11,TRUE,NA,NA,NA
U755,fatty_acid,SFA739,Frozen -80,BFA105,55,BFA105-55,TRUE,NA,NA,NA
U755,isotope,SIS739,Frozen -20,BISSO14,92,BISSO14-92,TRUE,NA,NA,NA
U755,genetic_stock_id,SDN739,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U755,stomach,SST739,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U755,otolith,SOT739,Dry,BOTSO8,C16,BOTSO8-C16,TRUE,NA,NA,NA
U755,scale,U755,Dry,BSC7,5,BSC7-5,TRUE,NA,NA,NA
U755,carcass,U755,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U755,sealice,SSL739,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U756,RNA,U756,Frozen -80,BRNA7,H2,BRNA7-H2,TRUE,NA,NA,NA
U756,fatty_acid,SFA760,Frozen -80,BFASO11,96,BFASO11-96,TRUE,NA,NA,NA
U756,isotope,SIS760,Frozen -20,BISSO15,36,BISSO15-36,TRUE,NA,NA,NA
U756,genetic_stock_id,SDN760,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U756,stomach,SST760,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U756,otolith,SOT760,Dry,BOTSO8,D4,BOTSO8-D4,TRUE,NA,NA,NA
U756,scale,U756,Dry,BSC7,6,BSC7-6,TRUE,NA,NA,NA
U756,carcass,U756,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U756,sealice,SSL760,Formalin,BSLSO15,45,BSLSO15-45,TRUE,NA,NA,NA
U757,RNA,U757,Frozen -80,BRNA7,G2,BRNA7-G2,TRUE,NA,NA,NA
U757,fatty_acid,SFA761,Frozen -80,BFASO12,1,BFASO12-1,TRUE,NA,NA,NA
U757,isotope,SIS761,Frozen -20,BISSO15,41,BISSO15-41,TRUE,NA,NA,NA
U757,genetic_stock_id,SDN761,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U757,stomach,SST761,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U757,otolith,SOT761,Dry,BOTSO8,D7,BOTSO8-D7,TRUE,NA,NA,NA
U757,scale,U757,Dry,BSC7,7,BSC7-7,TRUE,NA,NA,NA
U757,carcass,U757,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U757,sealice,SSL761,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U758,RNA,U758,Frozen -80,BRNA7,F2,BRNA7-F2,TRUE,NA,NA,NA
U758,fatty_acid,SFA762,Frozen -80,BFASO12,12,BFASO12-12,TRUE,NA,NA,NA
U758,isotope,SIS762,Frozen -20,BISSO15,52,BISSO15-52,TRUE,NA,NA,NA
U758,genetic_stock_id,SDN762,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U758,stomach,SST762,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U758,otolith,SOT762,Dry,BOTSO8,D9,BOTSO8-D9,TRUE,NA,NA,NA
U758,scale,U758,Dry,BSC7,8,BSC7-8,TRUE,NA,NA,NA
U758,carcass,U758,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U758,sealice,SSL762,Formalin,BSLSO15,60,BSLSO15-60,TRUE,NA,NA,NA
U759,RNA,U759,Frozen -80,BRNA7,E2,BRNA7-E2,TRUE,NA,NA,NA
U759,fatty_acid,SFA781,Frozen -80,BFA103,66,BFA103-66,TRUE,NA,NA,NA
U759,isotope,SIS781,Frozen -20,BISSO15,78,BISSO15-78,TRUE,NA,NA,NA
U759,genetic_stock_id,SDN781,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U759,stomach,SST781,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U759,otolith,SOT781,Dry,BOTSO8,D14,BOTSO8-D14,TRUE,NA,NA,NA
U759,scale,U759,Dry,BSC7,9,BSC7-9,TRUE,NA,NA,NA
U759,carcass,U759,Frozen -20,BCA16,NA,BCA16-NA,TRUE,NA,NA,NA
U759,sealice,SSL781,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U760,RNA,U760,Frozen -80,BRNA7,D2,BRNA7-D2,TRUE,NA,NA,NA
U760,fatty_acid,SFA782,Frozen -80,BFA103,69,BFA103-69,TRUE,NA,NA,NA
U760,isotope,SIS782,Frozen -20,BISSO15,83,BISSO15-83,TRUE,NA,NA,NA
U760,genetic_stock_id,SDN782,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U760,stomach,SST782,95 % Non-Denatured Ethanol,BST33,NA,BST33-NA,TRUE,NA,NA,NA
U760,otolith,SOT782,Dry,BOTSO8,D15,BOTSO8-D15,TRUE,NA,NA,NA
U760,scale,U760,Dry,BSC7,10,BSC7-10,TRUE,NA,NA,NA
U760,carcass,U760,Frozen -20,BCA16,NA,BCA16-NA,TRUE,NA,NA,NA
U760,sealice,SSL782,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U761,RNA,U761,Frozen -80,BRNA6,G7,BRNA6-G7,TRUE,NA,NA,NA
U761,fatty_acid,SFA711,Frozen -80,BFASO10,85,BFASO10-85,TRUE,NA,NA,NA
U761,isotope,SIS711,Frozen -20,BISSO14,25,BISSO14-25,TRUE,NA,NA,NA
U761,genetic_stock_id,SDN711,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U761,stomach,SST711,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U761,otolith,SOT711,Dry,BOTSO8,C6,BOTSO8-C6,TRUE,NA,NA,NA
U761,scale,U761,Dry,BSC9,41,BSC9-41,TRUE,NA,NA,NA
U761,carcass,U761,Frozen -20,BCA14,NA,BCA14-NA,TRUE,NA,NA,NA
U761,sealice,SSL711,Formalin,BSLSO14,49,BSLSO14-49,TRUE,NA,NA,NA
U762,RNA,U762,Frozen -80,BRNA6,F7,BRNA6-F7,TRUE,NA,NA,NA
U762,fatty_acid,SFA712,Frozen -80,BFASO10,87,BFASO10-87,TRUE,NA,NA,NA
U762,isotope,SIS712,Frozen -20,BISSO14,27,BISSO14-27,TRUE,NA,NA,NA
U762,genetic_stock_id,SDN712,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U762,stomach,SST712,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U762,otolith,SOT712,Dry,BOTSO8,C7,BOTSO8-C7,TRUE,NA,NA,NA
U762,scale,U762,Dry,BSC9,42,BSC9-42,TRUE,NA,NA,NA
U762,carcass,U762,Frozen -20,BCA14,NA,BCA14-NA,TRUE,NA,NA,NA
U762,sealice,SSL712,Formalin,BSLSO14,56,BSLSO14-56,TRUE,NA,NA,NA
U763,RNA,U763,Frozen -80,BRNA6,E7,BRNA6-E7,TRUE,NA,NA,NA
U763,fatty_acid,SFA722,Frozen -80,BFASO11,7,BFASO11-7,TRUE,NA,NA,NA
U763,isotope,SIS722,Frozen -20,BISSO14,47,BISSO14-47,TRUE,NA,NA,NA
U763,genetic_stock_id,SDN722,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U763,stomach,SST722,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U763,otolith,SOT722,Dry,BOTSO8,C8,BOTSO8-C8,TRUE,NA,NA,NA
U763,scale,U763,Dry,BSC9,43,BSC9-43,TRUE,NA,NA,NA
U763,carcass,U763,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U763,sealice,SSL722,Formalin,BSLSO14,63,BSLSO14-63,TRUE,NA,NA,NA
U764,RNA,U764,Frozen -80,BRNA6,D7,BRNA6-D7,TRUE,NA,NA,NA
U764,fatty_acid,SFA723,Frozen -80,BFASO11,12,BFASO11-12,TRUE,NA,NA,NA
U764,isotope,SIS723,Frozen -20,BISSO14,52,BISSO14-52,TRUE,NA,NA,NA
U764,genetic_stock_id,SDN723,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U764,stomach,SST723,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U764,otolith,SOT723,Dry,BOTSO8,C9,BOTSO8-C9,TRUE,NA,NA,NA
U764,scale,U764,Dry,BSC9,44,BSC9-44,TRUE,NA,NA,NA
U764,carcass,U764,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U764,sealice,SSL723,Formalin,BSLSO14,69,BSLSO14-69,TRUE,NA,NA,NA
U765,RNA,U765,Frozen -80,BRNA6,C7,BRNA6-C7,TRUE,NA,NA,NA
U765,fatty_acid,SFA724,Frozen -80,BFASO11,16,BFASO11-16,TRUE,NA,NA,NA
U765,isotope,SIS724,Frozen -20,BISSO14,56,BISSO14-56,TRUE,NA,NA,NA
U765,genetic_stock_id,SDN724,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U765,stomach,SST724,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U765,otolith,SOT724,Dry,BOTSO8,C10,BOTSO8-C10,TRUE,NA,NA,NA
U765,scale,U765,Dry,BSC9,45,BSC9-45,TRUE,NA,NA,NA
U765,carcass,U765,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U765,sealice,SSL724,Formalin,BSLSO14,76,BSLSO14-76,TRUE,NA,NA,NA
U766,RNA,U766,Frozen -80,BRNA6,B7,BRNA6-B7,TRUE,NA,NA,NA
U766,fatty_acid,SFA725,Frozen -80,BFASO11,18,BFASO11-18,TRUE,NA,NA,NA
U766,isotope,SIS725,Frozen -20,BISSO14,58,BISSO14-58,TRUE,NA,NA,NA
U766,genetic_stock_id,SDN725,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U766,stomach,SST725,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U766,otolith,SOT725,Dry,BOTSO8,C11,BOTSO8-C11,TRUE,NA,NA,NA
U766,scale,U766,Dry,BSC9,46,BSC9-46,TRUE,NA,NA,NA
U766,carcass,U766,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U766,sealice,SSL725,Formalin,BSLSO14,81,BSLSO14-81,TRUE,NA,NA,NA
U767,RNA,U767,Frozen -80,BRNA6,A7,BRNA6-A7,TRUE,NA,NA,NA
U767,fatty_acid,SFA726,Frozen -80,BFA105,46,BFA105-46,TRUE,NA,NA,NA
U767,isotope,SIS726,Frozen -20,BISSO14,63,BISSO14-63,TRUE,NA,NA,NA
U767,genetic_stock_id,SDN726,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U767,stomach,SST726,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U767,otolith,SOT726,Dry,BOTSO8,C12,BOTSO8-C12,TRUE,NA,NA,NA
U767,scale,U767,Dry,BSC9,47,BSC9-47,TRUE,NA,NA,NA
U767,carcass,U767,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U767,sealice,SSL726,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U768,RNA,U768,Frozen -80,BRNA6,H10,BRNA6-H10,TRUE,NA,NA,NA
U768,fatty_acid,SFA727,Frozen -80,BFA105,49,BFA105-49,TRUE,NA,NA,NA
U768,isotope,SIS727,Frozen -20,BISSO14,69,BISSO14-69,TRUE,NA,NA,NA
U768,genetic_stock_id,SDN727,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U768,stomach,SST727,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U768,otolith,SOT727,Dry,BOTSO8,C13,BOTSO8-C13,TRUE,NA,NA,NA
U768,scale,U768,Dry,BSC9,48,BSC9-48,TRUE,NA,NA,NA
U768,carcass,U768,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U768,sealice,SSL727,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U769,RNA,U769,Frozen -80,BRNA6,G10,BRNA6-G10,TRUE,NA,NA,NA
U769,fatty_acid,SFA728,Frozen -80,BFA105,51,BFA105-51,TRUE,NA,NA,NA
U769,isotope,SIS728,Frozen -20,BISSO14,74,BISSO14-74,TRUE,NA,NA,NA
U769,genetic_stock_id,SDN728,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U769,stomach,SST728,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U769,otolith,SOT728,Dry,BOTSO8,C14,BOTSO8-C14,TRUE,NA,NA,NA
U769,scale,U769,Dry,BSC9,49,BSC9-49,TRUE,NA,NA,NA
U769,carcass,U769,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U769,sealice,SSL728,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U770,RNA,U770,Frozen -80,BRNA6,F10,BRNA6-F10,TRUE,NA,NA,NA
U770,fatty_acid,SFA740,Frozen -80,BFA105,56,BFA105-56,TRUE,NA,NA,NA
U770,isotope,SIS740,Frozen -20,BISSO14,94,BISSO14-94,TRUE,NA,NA,NA
U770,genetic_stock_id,SDN740,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U770,stomach,SST740,95 % Non-Denatured Ethanol,BST31,NA,BST31-NA,TRUE,NA,NA,NA
U770,otolith,SOT740,Dry,BOTSO8,C15,BOTSO8-C15,TRUE,NA,NA,NA
U770,scale,U770,Dry,BSC9,50,BSC9-50,TRUE,NA,NA,NA
U770,carcass,U770,Frozen -20,BCA15,NA,BCA15-NA,TRUE,NA,NA,NA
U770,sealice,SSL740,Formalin,BSLSO28,NA,BSLSO28-NA,TRUE,NA,NA,NA
U771,RNA,U771,Frozen -80,BRNA6,C9,BRNA6-C9,TRUE,NA,NA,NA
U771,fatty_acid,SFA729,Frozen -80,BFA105,47,BFA105-47,TRUE,NA,NA,NA
U771,isotope,SIS729,Frozen -20,BISSO14,65,BISSO14-65,TRUE,NA,NA,NA
U771,genetic_stock_id,SDN729,95 % Non-Denatured Ethanol,BDNSO16,NA,BDNSO16-NA,TRUE,NA,NA,NA
U771,stomach,SST729,95 % Non-Denatured Ethanol,BST32,NA,BST32-NA,TRUE,NA,NA,NA
